CustomerID,Gender,Age,Location,Monthly Income (kRs),Spending Score (%),Product line,Payment,Rating
1,Male,19,Vasant Kunj,13,39,Health and beauty,Ewallet,9.1
2,Male,21,Vasant Kunj,14,81,Electronic accessories,Cash,9.6
3,Female,20,Vasant Kunj,14,6,Home and lifestyle,Credit card,7.4
4,Female,23,Vasant Kunj,15,77,Health and beauty,Ewallet,8.4
5,Female,31,Vasant Kunj,17,40,Sports and travel,Ewallet,5.3
6,Female,22,Safdarjung Enclave,14,76,Electronic accessories,Ewallet,4.1
7,Female,35,Vasant Kunj,18,70,Electronic accessories,Ewallet,5.8
8,Female,23,Safdarjung Enclave,16,94,Home and lifestyle,Ewallet,8
9,Male,64,Vasant Kunj,19,3,Health and beauty,Credit card,7.2
10,Female,30,Malviya Nagar,19,72,Food and beverages,Credit card,5.9
11,Male,67,Malviya Nagar,19,14,Fashion accessories,Ewallet,4.5
12,Female,35,Malviya Nagar,19,90,Electronic accessories,Cash,6.8
13,Female,58,Vasant Kunj,20,15,Electronic accessories,Ewallet,7.1
14,Female,24,Vasant Kunj,20,77,Food and beverages,Ewallet,8.2
15,Male,37,Vasant Kunj,20,13,Health and beauty,Cash,5.7
16,Male,22,Malviya Nagar,13,79,Sports and travel,Cash,4.5
17,Female,35,Vasant Kunj,21,35,Health and beauty,Credit card,4.6
18,Male,20,Vasant Kunj,15,66,Sports and travel,Credit card,6.9
19,Male,52,Vasant Kunj,23,29,Food and beverages,Credit card,8.6
20,Female,35,Malviya Nagar,23,98,Home and lifestyle,Ewallet,4.4
21,Male,35,Safdarjung Enclave,24,35,Electronic accessories,Ewallet,4.8
22,Male,25,Malviya Nagar,24,73,Health and beauty,Ewallet,5.1
23,Female,46,Malviya Nagar,25,5,Home and lifestyle,Credit card,4.4
24,Male,31,Vasant Kunj,25,73,Electronic accessories,Ewallet,9.9
25,Female,54,Vasant Kunj,28,14,Sports and travel,Ewallet,6
26,Male,29,Vasant Kunj,28,82,Home and lifestyle,Credit card,8.5
27,Female,45,Malviya Nagar,28,32,Fashion accessories,Cash,6.7
28,Male,35,Vasant Kunj,28,61,Fashion accessories,Credit card,7.7
29,Female,40,Malviya Nagar,29,31,Food and beverages,Cash,9.6
30,Female,23,Vasant Kunj,16,87,Health and beauty,Cash,7.4
31,Male,60,Malviya Nagar,30,4,Fashion accessories,Credit card,4.8
32,Female,21,Malviya Nagar,16,73,Sports and travel,Cash,4.5
33,Male,53,Malviya Nagar,33,4,Sports and travel,Cash,5.1
34,Male,18,Vasant Kunj,10,92,Health and beauty,Credit card,5.1
35,Female,49,Safdarjung Enclave,33,14,Food and beverages,Ewallet,7.5
36,Female,21,Safdarjung Enclave,15,81,Sports and travel,Ewallet,6.8
37,Female,42,Vasant Kunj,34,17,Sports and travel,Ewallet,7
38,Female,30,Vasant Kunj,34,73,Electronic accessories,Ewallet,4.7
39,Female,36,Safdarjung Enclave,37,26,Health and beauty,Ewallet,7.6
40,Female,20,Malviya Nagar,13,75,Home and lifestyle,Cash,7.7
41,Female,65,Malviya Nagar,38,35,Home and lifestyle,Ewallet,7.9
42,Male,24,Safdarjung Enclave,23,92,Home and lifestyle,Cash,6.3
43,Male,48,Malviya Nagar,39,36,Sports and travel,Cash,5.6
44,Female,31,Safdarjung Enclave,39,61,Food and beverages,Cash,7.6
45,Female,49,Safdarjung Enclave,39,28,Health and beauty,Cash,7.2
46,Female,24,Malviya Nagar,35,65,Electronic accessories,Cash,9.5
47,Female,50,Malviya Nagar,40,55,Health and beauty,Credit card,8.4
48,Female,27,Malviya Nagar,40,47,Food and beverages,Ewallet,4.1
49,Female,29,Malviya Nagar,40,42,Electronic accessories,Credit card,8.1
50,Female,31,Safdarjung Enclave,40,42,Fashion accessories,Ewallet,7.9
51,Female,49,Safdarjung Enclave,42,52,Food and beverages,Cash,9.5
52,Male,33,Vasant Kunj,42,60,Food and beverages,Cash,8.5
53,Female,31,Malviya Nagar,43,54,Fashion accessories,Ewallet,6.5
54,Male,59,Safdarjung Enclave,43,60,Fashion accessories,Credit card,6.1
55,Female,50,Malviya Nagar,43,45,Home and lifestyle,Ewallet,6.5
56,Male,47,Safdarjung Enclave,43,41,Electronic accessories,Cash,8.2
57,Female,51,Vasant Kunj,44,50,Home and lifestyle,Cash,5.8
58,Male,69,Vasant Kunj,44,46,Health and beauty,Ewallet,6.6
59,Female,27,Vasant Kunj,46,51,Home and lifestyle,Cash,5.4
60,Male,53,Safdarjung Enclave,46,46,Electronic accessories,Cash,9.3
61,Male,70,Safdarjung Enclave,46,56,Sports and travel,Credit card,10
62,Male,19,Safdarjung Enclave,14,55,Home and lifestyle,Ewallet,7
63,Female,67,Malviya Nagar,47,52,Sports and travel,Ewallet,10
64,Female,54,Vasant Kunj,47,59,Sports and travel,Credit card,8.6
65,Male,63,Malviya Nagar,48,51,Health and beauty,Cash,7.6
66,Male,18,Vasant Kunj,12,59,Health and beauty,Cash,5.8
67,Female,43,Safdarjung Enclave,48,50,Health and beauty,Ewallet,6.7
68,Female,68,Malviya Nagar,48,48,Fashion accessories,Ewallet,9.9
69,Male,19,Vasant Kunj,13,59,Sports and travel,Cash,6.4
70,Female,32,Vasant Kunj,48,47,Health and beauty,Cash,4.3
71,Male,70,Safdarjung Enclave,49,55,Food and beverages,Credit card,9.6
72,Female,47,Safdarjung Enclave,49,42,Fashion accessories,Cash,5.9
73,Female,60,Malviya Nagar,50,49,Food and beverages,Ewallet,4
74,Female,60,Safdarjung Enclave,50,56,Electronic accessories,Cash,8.7
75,Male,59,Vasant Kunj,54,47,Home and lifestyle,Ewallet,9.4
76,Male,26,Safdarjung Enclave,39,54,Electronic accessories,Credit card,5.4
77,Female,45,Safdarjung Enclave,54,53,Fashion accessories,Credit card,8.6
78,Male,40,Vasant Kunj,54,48,Fashion accessories,Credit card,5.7
79,Female,23,Safdarjung Enclave,17,52,Food and beverages,Ewallet,6.6
80,Female,49,Safdarjung Enclave,54,42,Health and beauty,Cash,6
81,Male,57,Safdarjung Enclave,54,51,Health and beauty,Credit card,5.5
82,Male,38,Malviya Nagar,54,55,Food and beverages,Ewallet,6.4
83,Male,67,Safdarjung Enclave,54,41,Food and beverages,Ewallet,6.6
84,Female,46,Safdarjung Enclave,54,44,Food and beverages,Credit card,8.3
85,Female,21,Safdarjung Enclave,17,57,Sports and travel,Cash,6.6
86,Male,48,Safdarjung Enclave,54,46,Sports and travel,Ewallet,4
87,Female,55,Safdarjung Enclave,57,58,Fashion accessories,Cash,9.9
88,Female,22,Vasant Kunj,14,55,Food and beverages,Credit card,7.3
89,Female,34,Vasant Kunj,58,60,Sports and travel,Cash,5.7
90,Female,50,Malviya Nagar,58,46,Health and beauty,Cash,6.1
91,Female,68,Safdarjung Enclave,59,55,Home and lifestyle,Cash,7.1
92,Male,18,Safdarjung Enclave,9,41,Sports and travel,Ewallet,8.2
93,Male,48,Vasant Kunj,60,49,Sports and travel,Ewallet,5.1
94,Female,40,Malviya Nagar,60,40,Health and beauty,Credit card,8.6
95,Female,32,Safdarjung Enclave,60,42,Health and beauty,Credit card,6.6
96,Male,24,Vasant Kunj,26,52,Electronic accessories,Ewallet,7.2
97,Female,47,Malviya Nagar,60,47,Health and beauty,Ewallet,5.1
98,Female,27,Safdarjung Enclave,60,50,Electronic accessories,Cash,4.1
99,Male,48,Vasant Kunj,61,42,Food and beverages,Ewallet,9.3
100,Male,20,Malviya Nagar,12,49,Home and lifestyle,Cash,7.4
101,Female,23,Safdarjung Enclave,15,41,Fashion accessories,Cash,4.1
102,Female,49,Safdarjung Enclave,62,48,Fashion accessories,Cash,7.2
103,Male,67,Safdarjung Enclave,62,59,Electronic accessories,Cash,4.9
104,Male,26,Vasant Kunj,38,55,Food and beverages,Cash,9.9
105,Male,49,Malviya Nagar,62,56,Health and beauty,Cash,8
106,Female,21,Vasant Kunj,15,42,Electronic accessories,Ewallet,7.3
107,Female,66,Safdarjung Enclave,63,50,Fashion accessories,Credit card,7.9
108,Male,54,Vasant Kunj,63,46,Sports and travel,Cash,7.4
109,Male,68,Safdarjung Enclave,63,43,Food and beverages,Cash,4.2
110,Male,66,Safdarjung Enclave,63,48,Electronic accessories,Cash,9.2
111,Male,65,Malviya Nagar,63,52,Sports and travel,Ewallet,4.6
112,Female,19,Safdarjung Enclave,12,54,Health and beauty,Credit card,7.8
113,Female,38,Malviya Nagar,64,42,Fashion accessories,Cash,8.4
114,Male,19,Vasant Kunj,15,46,Home and lifestyle,Ewallet,4.3
115,Female,18,Safdarjung Enclave,10,48,Home and lifestyle,Credit card,9.5
116,Female,19,Safdarjung Enclave,11,50,Fashion accessories,Credit card,7.1
117,Female,63,Malviya Nagar,65,43,Fashion accessories,Ewallet,5.3
118,Female,49,Malviya Nagar,65,59,Fashion accessories,Ewallet,5.2
119,Female,51,Vasant Kunj,67,43,Food and beverages,Ewallet,6
120,Female,50,Malviya Nagar,67,57,Home and lifestyle,Ewallet,4.1
121,Male,27,Vasant Kunj,67,56,Electronic accessories,Credit card,5.2
122,Female,38,Safdarjung Enclave,67,40,Sports and travel,Credit card,6.5
123,Female,40,Malviya Nagar,69,58,Sports and travel,Credit card,4.2
124,Male,39,Safdarjung Enclave,69,91,Home and lifestyle,Credit card,4.6
125,Female,23,Malviya Nagar,17,29,Fashion accessories,Ewallet,7.3
126,Female,31,Vasant Kunj,70,77,Home and lifestyle,Credit card,4.5
127,Male,43,Vasant Kunj,71,35,Sports and travel,Cash,9
128,Male,40,Safdarjung Enclave,71,95,Fashion accessories,Credit card,5.9
129,Male,59,Safdarjung Enclave,71,11,Food and beverages,Ewallet,8.5
130,Male,38,Malviya Nagar,71,75,Sports and travel,Ewallet,7.2
131,Male,47,Malviya Nagar,71,9,Fashion accessories,Cash,7.5
132,Male,39,Vasant Kunj,71,75,Sports and travel,Cash,8.3
133,Female,25,Malviya Nagar,32,34,Sports and travel,Cash,7.4
134,Female,31,Malviya Nagar,72,71,Electronic accessories,Credit card,8.8
135,Male,20,Safdarjung Enclave,15,5,Health and beauty,Ewallet,5.3
136,Female,29,Safdarjung Enclave,73,88,Fashion accessories,Cash,6.2
137,Female,44,Vasant Kunj,73,7,Electronic accessories,Credit card,8.8
138,Male,32,Vasant Kunj,73,73,Home and lifestyle,Cash,9.8
139,Male,19,Malviya Nagar,12,10,Sports and travel,Cash,8.2
140,Female,35,Vasant Kunj,74,72,Sports and travel,Ewallet,9.2
141,Female,57,Safdarjung Enclave,75,5,Sports and travel,Credit card,5.4
142,Male,32,Safdarjung Enclave,75,93,Health and beauty,Cash,8.1
143,Female,28,Safdarjung Enclave,76,40,Health and beauty,Cash,9.1
144,Female,32,Safdarjung Enclave,76,87,Food and beverages,Credit card,8.4
145,Male,25,Vasant Kunj,25,12,Home and lifestyle,Ewallet,8
146,Male,28,Safdarjung Enclave,77,97,Health and beauty,Credit card,9.5
147,Male,48,Vasant Kunj,77,36,Fashion accessories,Ewallet,9.2
148,Female,32,Safdarjung Enclave,77,74,Health and beauty,Credit card,5.6
149,Female,34,Malviya Nagar,78,22,Home and lifestyle,Credit card,6.2
150,Male,34,Vasant Kunj,78,90,Health and beauty,Credit card,4.9
151,Male,43,Malviya Nagar,78,17,Fashion accessories,Credit card,4.8
152,Male,39,Safdarjung Enclave,78,88,Sports and travel,Credit card,7.3
153,Female,44,Vasant Kunj,78,20,Fashion accessories,Credit card,7.4
154,Female,38,Safdarjung Enclave,78,76,Food and beverages,Ewallet,9.9
155,Female,47,Safdarjung Enclave,78,16,Sports and travel,Cash,9.3
156,Female,27,Vasant Kunj,78,89,Food and beverages,Credit card,9
157,Male,37,Malviya Nagar,78,1,Electronic accessories,Cash,6.1
158,Female,30,Malviya Nagar,78,78,Home and lifestyle,Ewallet,9.7
159,Male,34,Malviya Nagar,78,40,Health and beauty,Ewallet,6
160,Female,30,Malviya Nagar,78,73,Sports and travel,Ewallet,10
161,Female,56,Safdarjung Enclave,79,35,Food and beverages,Credit card,8.3
162,Female,29,Vasant Kunj,79,83,Sports and travel,Cash,6
163,Male,19,Vasant Kunj,14,5,Food and beverages,Credit card,7
164,Female,31,Safdarjung Enclave,81,93,Sports and travel,Ewallet,6.5
165,Male,50,Malviya Nagar,85,26,Food and beverages,Credit card,5.9
166,Female,36,Malviya Nagar,85,75,Health and beauty,Ewallet,5.6
167,Male,42,Safdarjung Enclave,86,20,Home and lifestyle,Cash,4.8
168,Female,33,Vasant Kunj,86,95,Fashion accessories,Credit card,8.7
169,Female,36,Vasant Kunj,87,27,Food and beverages,Cash,6.5
170,Male,32,Vasant Kunj,87,63,Sports and travel,Credit card,8.5
171,Male,40,Vasant Kunj,87,13,Health and beauty,Ewallet,5.5
172,Male,28,Malviya Nagar,87,75,Food and beverages,Credit card,9.4
173,Male,36,Safdarjung Enclave,87,10,Electronic accessories,Cash,6.3
174,Male,36,Malviya Nagar,87,92,Electronic accessories,Credit card,9.8
175,Female,52,Malviya Nagar,88,13,Food and beverages,Ewallet,8.7
176,Female,30,Vasant Kunj,88,86,Home and lifestyle,Ewallet,8.8
177,Male,58,Vasant Kunj,88,15,Food and beverages,Credit card,9.6
178,Male,27,Safdarjung Enclave,88,69,Fashion accessories,Credit card,4.8
179,Male,59,Vasant Kunj,93,14,Food and beverages,Ewallet,4.4
180,Male,35,Safdarjung Enclave,93,90,Health and beauty,Ewallet,9.9
181,Female,37,Safdarjung Enclave,97,32,Fashion accessories,Cash,5.7
182,Female,32,Safdarjung Enclave,97,86,Food and beverages,Cash,7.7
183,Male,46,Vasant Kunj,98,15,Sports and travel,Ewallet,8
184,Female,29,Safdarjung Enclave,98,88,Health and beauty,Ewallet,5.7
185,Female,41,Vasant Kunj,99,39,Sports and travel,Credit card,6.7
186,Male,30,Malviya Nagar,99,97,Food and beverages,Ewallet,8
187,Female,54,Malviya Nagar,101,24,Home and lifestyle,Ewallet,7.5
188,Male,28,Malviya Nagar,101,68,Home and lifestyle,Cash,7
189,Female,41,Vasant Kunj,103,17,Home and lifestyle,Ewallet,9.9
190,Female,36,Safdarjung Enclave,103,85,Home and lifestyle,Credit card,5.9
191,Female,34,Malviya Nagar,103,23,Home and lifestyle,Credit card,7.2
192,Female,32,Malviya Nagar,60,69,Fashion accessories,Ewallet,4.6
193,Male,33,Safdarjung Enclave,58,8,Food and beverages,Cash,9.2
194,Female,38,Malviya Nagar,113,91,Home and lifestyle,Ewallet,5.7
195,Female,47,Vasant Kunj,120,16,Electronic accessories,Credit card,9.9
196,Female,35,Safdarjung Enclave,120,79,Fashion accessories,Cash,5
197,Female,45,Safdarjung Enclave,126,28,Health and beauty,Cash,4.9
198,Male,32,Vasant Kunj,76,74,Home and lifestyle,Ewallet,6.1
199,Male,32,Safdarjung Enclave,80,18,Health and beauty,Credit card,8.2
200,Male,30,Safdarjung Enclave,137,83,Food and beverages,Credit card,5.5
201,Female,36,Safdarjung Enclave,138,76,Sports and travel,Credit card,6.8
202,Female,35,Malviya Nagar,13,39,Electronic accessories,Cash,6.6
203,Female,56,Safdarjung Enclave,14,81,Electronic accessories,Cash,9.8
204,Male,24,Malviya Nagar,14,6,Health and beauty,Ewallet,8.7
205,Female,54,Malviya Nagar,15,77,Home and lifestyle,Credit card,5.4
206,Male,23,Vasant Kunj,17,40,Health and beauty,Ewallet,7.9
207,Female,34,Safdarjung Enclave,14,76,Electronic accessories,Credit card,9.7
208,Female,67,Safdarjung Enclave,18,70,Home and lifestyle,Ewallet,7.8
209,Female,65,Malviya Nagar,16,94,Fashion accessories,Ewallet,5.1
210,Male,34,Malviya Nagar,19,3,Electronic accessories,Credit card,6.5
211,Female,45,Vasant Kunj,19,72,Electronic accessories,Ewallet,5.9
212,Male,65,Safdarjung Enclave,19,14,Food and beverages,Cash,8.8
213,Male,45,Malviya Nagar,19,90,Home and lifestyle,Ewallet,4.9
214,Female,55,Malviya Nagar,20,15,Sports and travel,Credit card,4.4
215,Female,55,Malviya Nagar,20,77,Sports and travel,Cash,6.5
216,Female,21,Vasant Kunj,20,13,Home and lifestyle,Credit card,8.3
217,Female,19,Malviya Nagar,13,79,Sports and travel,Cash,8.5
218,Male,56,Vasant Kunj,21,35,Electronic accessories,Cash,5.5
219,Male,23,Malviya Nagar,15,66,Fashion accessories,Ewallet,8.7
220,Female,26,Malviya Nagar,23,29,Food and beverages,Credit card,7.9
221,Male,34,Malviya Nagar,23,98,Electronic accessories,Ewallet,6.1
222,Female,45,Malviya Nagar,24,35,Food and beverages,Ewallet,5.4
223,Male,57,Safdarjung Enclave,24,73,Electronic accessories,Cash,9.4
224,Female,45,Safdarjung Enclave,25,5,Fashion accessories,Cash,8.2
225,Female,46,Vasant Kunj,25,73,Food and beverages,Cash,6.2
226,Male,52,Safdarjung Enclave,28,14,Sports and travel,Credit card,9.7
227,Male,70,Malviya Nagar,28,82,Health and beauty,Ewallet,4
228,Female,54,Safdarjung Enclave,28,32,Electronic accessories,Ewallet,9.7
229,Male,33,Malviya Nagar,28,61,Electronic accessories,Cash,5.3
230,Male,44,Vasant Kunj,29,31,Home and lifestyle,Ewallet,7.4
231,Male,46,Malviya Nagar,16,87,Fashion accessories,Cash,6.5
232,Male,67,Malviya Nagar,30,4,Electronic accessories,Credit card,8.7
233,Male,21,Malviya Nagar,16,73,Health and beauty,Cash,8
234,Male,24,Malviya Nagar,33,4,Fashion accessories,Cash,6.7
235,Female,27,Vasant Kunj,40,92,Health and beauty,Ewallet,6.5
236,Male,67,Vasant Kunj,33,14,Sports and travel,Ewallet,4.1
237,Female,65,Safdarjung Enclave,15,81,Health and beauty,Credit card,4.9
238,Female,66,Safdarjung Enclave,34,17,Fashion accessories,Credit card,8.6
239,Male,35,Malviya Nagar,34,73,Electronic accessories,Cash,4.3
240,Male,37,Vasant Kunj,37,26,Fashion accessories,Ewallet,4.9
241,Female,39,Vasant Kunj,13,75,Food and beverages,Credit card,5.6
242,Male,71,Vasant Kunj,38,35,Health and beauty,Credit card,5.8
243,Female,63,Safdarjung Enclave,23,92,Fashion accessories,Credit card,6
244,Female,69,Vasant Kunj,39,36,Home and lifestyle,Cash,4.2
245,Male,39,Malviya Nagar,39,61,Home and lifestyle,Credit card,8.3
246,Male,29,Vasant Kunj,39,28,Home and lifestyle,Cash,5.7
247,Female,28,Malviya Nagar,39,65,Electronic accessories,Cash,4.8
248,Male,51,Vasant Kunj,40,55,Fashion accessories,Ewallet,6.8
249,Male,43,Vasant Kunj,40,47,Electronic accessories,Credit card,8.8
250,Male,42,Malviya Nagar,40,42,Food and beverages,Credit card,4.2
251,Female,66,Malviya Nagar,40,42,Food and beverages,Ewallet,6.4
252,Male,65,Safdarjung Enclave,42,52,Fashion accessories,Credit card,8.4
253,Male,64,Safdarjung Enclave,42,60,Sports and travel,Credit card,7.2
254,Female,63,Vasant Kunj,43,54,Home and lifestyle,Cash,5.2
255,Male,62,Vasant Kunj,43,60,Home and lifestyle,Cash,8.9
256,Female,61,Malviya Nagar,43,45,Fashion accessories,Cash,9
257,Female,60,Vasant Kunj,43,41,Electronic accessories,Credit card,9.7
258,Male,31,Vasant Kunj,44,50,Home and lifestyle,Ewallet,8.7
259,Male,32,Vasant Kunj,44,46,Electronic accessories,Ewallet,6.5
260,Female,33,Safdarjung Enclave,46,51,Electronic accessories,Credit card,6.9
261,Female,34,Vasant Kunj,46,46,Electronic accessories,Ewallet,6.2
262,Male,35,Safdarjung Enclave,46,56,Fashion accessories,Ewallet,5.6
263,Male,36,Malviya Nagar,14,55,Fashion accessories,Cash,5.7
264,Female,37,Vasant Kunj,47,52,Sports and travel,Cash,4.2
265,Female,38,Malviya Nagar,47,59,Sports and travel,Ewallet,7.9
266,Male,39,Vasant Kunj,48,51,Sports and travel,Credit card,8.7
